tool,suite,subject,gc,arm,status,monitors,events,traces
valg,oss,f4b6a3-uuid-creator,serial,stock,PASS,92698,3258026,
valg,oss,f4b6a3-uuid-creator,serial,native,PASS,92783,3260462,
valg,oss,f4b6a3-uuid-creator,parallel,stock,PASS,93187,3261331,
valg,oss,f4b6a3-uuid-creator,parallel,native,PASS,93044,3259001,
valg,oss,f4b6a3-uuid-creator,g1,stock,PASS,92237,3257284,
valg,oss,f4b6a3-uuid-creator,g1,native,PASS,92667,3258183,
valg,oss,flipkart-incubator-databuilderframework,serial,stock,PASS,2760528,208711520,
valg,oss,flipkart-incubator-databuilderframework,serial,native,PASS,2583924,207541001,
valg,oss,flipkart-incubator-databuilderframework,parallel,stock,PASS,2815620,208954274,
valg,oss,flipkart-incubator-databuilderframework,parallel,native,PASS,2761348,208894701,
valg,oss,flipkart-incubator-databuilderframework,g1,stock,PASS,2796165,208965416,
valg,oss,flipkart-incubator-databuilderframework,g1,native,PASS,2803260,208963378,
valg,oss,fraunhoferfokus-Fuzzino,serial,stock,PASS,117203,4625428136,
valg,oss,fraunhoferfokus-Fuzzino,serial,native,PASS,117648,4625455706,
valg,oss,fraunhoferfokus-Fuzzino,parallel,stock,PASS,117358,4625439376,
valg,oss,fraunhoferfokus-Fuzzino,parallel,native,PASS,118475,4625436269,
valg,oss,fraunhoferfokus-Fuzzino,g1,stock,PASS,117662,4625447752,
valg,oss,fraunhoferfokus-Fuzzino,g1,native,PASS,117692,4625448416,
valg,oss,fusion-jena-JaroWinklerSimilarity,serial,stock,PASS,4135318,947044504,
valg,oss,fusion-jena-JaroWinklerSimilarity,serial,native,PASS,20897186,948054108,
valg,oss,fusion-jena-JaroWinklerSimilarity,parallel,stock,PASS,20797053,947092974,
valg,oss,fusion-jena-JaroWinklerSimilarity,parallel,native,PASS,20778797,946825531,
valg,oss,fusion-jena-JaroWinklerSimilarity,g1,stock,PASS,20797840,946980947,
valg,oss,fusion-jena-JaroWinklerSimilarity,g1,native,PASS,20816913,947135850,
valg,oss,gchq-synthetic-data-generator,serial,stock,PASS,727757,84541021,
valg,oss,gchq-synthetic-data-generator,serial,native,PASS,725497,85128109,
valg,oss,gchq-synthetic-data-generator,parallel,stock,PASS,1384790,87474173,
valg,oss,gchq-synthetic-data-generator,parallel,native,PASS,722314,84719567,
valg,oss,gchq-synthetic-data-generator,g1,stock,PASS,729654,87076571,
valg,oss,gchq-synthetic-data-generator,g1,native,PASS,384559,84695234,
valg,oss,getodk-javarosa,serial,stock,PASS,888249,212643155,
valg,oss,getodk-javarosa,serial,native,PASS,889527,212736421,
valg,oss,getodk-javarosa,parallel,stock,PASS,725703,212720512,
valg,oss,getodk-javarosa,parallel,native,PASS,724961,207579384,
valg,oss,getodk-javarosa,g1,stock,PASS,563647,191508436,
valg,oss,getodk-javarosa,g1,native,PASS,892185,212786544,
valg,oss,ghaffarian-progex,serial,stock,PASS,1145694,138343269,
valg,oss,ghaffarian-progex,serial,native,PASS,1248930,138421332,
valg,oss,ghaffarian-progex,parallel,stock,PASS,1141205,138411731,
valg,oss,ghaffarian-progex,parallel,native,PASS,1154167,139130871,
valg,oss,ghaffarian-progex,g1,stock,PASS,1160124,138590432,
valg,oss,ghaffarian-progex,g1,native,PASS,1259646,138928855,
valg,oss,googleapis-java-spanner-jdbc,serial,stock,PASS,1471447,58334117,
valg,oss,googleapis-java-spanner-jdbc,serial,native,PASS,1484130,57236814,
valg,oss,googleapis-java-spanner-jdbc,parallel,stock,PASS,1507366,57579794,
valg,oss,googleapis-java-spanner-jdbc,parallel,native,PASS,1493529,57492585,
valg,oss,googleapis-java-spanner-jdbc,g1,stock,PASS,1511556,58329390,
valg,oss,googleapis-java-spanner-jdbc,g1,native,PASS,1470562,57395907,
valg,oss,graphstream-gs-algo,serial,stock,PASS,129284,27183475,
valg,oss,graphstream-gs-algo,serial,native,PASS,128927,27213114,
valg,oss,graphstream-gs-algo,parallel,stock,PASS,129302,27187989,
valg,oss,graphstream-gs-algo,parallel,native,PASS,129404,27178885,
valg,oss,graphstream-gs-algo,g1,stock,PASS,128105,27176320,
valg,oss,graphstream-gs-algo,g1,native,PASS,128372,27179326,
valg,oss,graphstream-gs-core,serial,stock,PASS,59928,45953838,
valg,oss,graphstream-gs-core,serial,native,PASS,59794,45555448,
valg,oss,graphstream-gs-core,parallel,stock,PASS,59555,45451817,
valg,oss,graphstream-gs-core,parallel,native,PASS,59566,45817285,
valg,oss,graphstream-gs-core,g1,stock,PASS,59670,45541257,
valg,oss,graphstream-gs-core,g1,native,PASS,59735,45277237,
valg,oss,hlavki-jlemmagen,serial,stock,PASS,76759,4610259,
valg,oss,hlavki-jlemmagen,serial,native,PASS,76577,4608593,
valg,oss,hlavki-jlemmagen,parallel,stock,PASS,76903,4610745,
valg,oss,hlavki-jlemmagen,parallel,native,PASS,76746,4609850,
valg,oss,hlavki-jlemmagen,g1,stock,PASS,77004,4610474,
valg,oss,hlavki-jlemmagen,g1,native,PASS,76727,4538322,
valg,oss,houbb-sensitive-word,serial,stock,PASS,394032,239357799,
valg,oss,houbb-sensitive-word,serial,native,PASS,392697,242298911,
valg,oss,houbb-sensitive-word,parallel,stock,PASS,387746,235444769,
valg,oss,houbb-sensitive-word,parallel,native,PASS,391708,242031115,
valg,oss,houbb-sensitive-word,g1,stock,PASS,390413,240612205,
valg,oss,houbb-sensitive-word,g1,native,PASS,391987,238396343,
valg,oss,huaban-jieba-analysis,serial,stock,PASS,748196,171574069,
valg,oss,huaban-jieba-analysis,serial,native,PASS,788000,172085043,
valg,oss,huaban-jieba-analysis,parallel,stock,PASS,1018527,178792602,
valg,oss,huaban-jieba-analysis,parallel,native,PASS,1113741,180055487,
valg,oss,huaban-jieba-analysis,g1,stock,PASS,881142,173470436,
valg,oss,huaban-jieba-analysis,g1,native,PASS,620710,171896906,
valg,oss,indeedeng-vowpal-wabbit-java,serial,stock,PASS,700560,764624845,
valg,oss,indeedeng-vowpal-wabbit-java,serial,native,PASS,710550,761793172,
valg,oss,indeedeng-vowpal-wabbit-java,parallel,stock,PASS,760544,770899191,
valg,oss,indeedeng-vowpal-wabbit-java,parallel,native,PASS,730595,764538433,
valg,oss,indeedeng-vowpal-wabbit-java,g1,stock,PASS,720539,772707804,
valg,oss,indeedeng-vowpal-wabbit-java,g1,native,PASS,710563,763698962,
valg,oss,iquadrat-sbb-train-scheduler,serial,stock,PASS,2450804,166970398,
valg,oss,iquadrat-sbb-train-scheduler,serial,native,PASS,2452104,165631552,
valg,oss,iquadrat-sbb-train-scheduler,parallel,stock,PASS,2451328,166979593,
valg,oss,iquadrat-sbb-train-scheduler,parallel,native,PASS,2326207,158529682,
valg,oss,iquadrat-sbb-train-scheduler,g1,stock,PASS,2320742,159746732,
valg,oss,iquadrat-sbb-train-scheduler,g1,native,PASS,2452209,166978586,
valg,oss,jahlborn-jackcess,serial,stock,PASS,951836,343689538,
valg,oss,jahlborn-jackcess,serial,native,PASS,1023982,347358681,
valg,oss,jahlborn-jackcess,parallel,stock,PASS,924882,340670135,
valg,oss,jahlborn-jackcess,parallel,native,PASS,938882,344735336,
valg,oss,jahlborn-jackcess,g1,stock,PASS,951105,344239551,
valg,oss,jahlborn-jackcess,g1,native,PASS,970994,346950716,
valg,oss,kapoorlabs-kiara,serial,stock,PASS,422841,2757480429,
valg,oss,kapoorlabs-kiara,serial,native,PASS,423824,2758164828,
valg,oss,kapoorlabs-kiara,parallel,stock,PASS,423445,2758853549,
valg,oss,kapoorlabs-kiara,parallel,native,PASS,422669,2757318284,
valg,oss,kapoorlabs-kiara,g1,stock,PASS,423845,2757003034,
valg,oss,kapoorlabs-kiara,g1,native,PASS,423177,2758650782,
valg,oss,lexburner-consistent-hash-algorithm,serial,stock,PASS,25219,140317577,
valg,oss,lexburner-consistent-hash-algorithm,serial,native,PASS,25182,140317884,
valg,oss,lexburner-consistent-hash-algorithm,parallel,stock,PASS,25039,140284273,
valg,oss,lexburner-consistent-hash-algorithm,parallel,native,PASS,25155,140306310,
valg,oss,lexburner-consistent-hash-algorithm,g1,stock,PASS,25382,140326737,
valg,oss,lexburner-consistent-hash-algorithm,g1,native,PASS,25245,140333410,
valg,oss,lukfor-pgs-calc,serial,stock,PASS,938875,513348276,
valg,oss,lukfor-pgs-calc,serial,native,FAIL,763496,340781713,
valg,oss,lukfor-pgs-calc,parallel,stock,FAIL,2931787,521737576,
valg,oss,lukfor-pgs-calc,parallel,native,FAIL,845522,383727919,
valg,oss,lukfor-pgs-calc,g1,stock,PASS,2873087,522621585,
valg,oss,lukfor-pgs-calc,g1,native,PASS,2918202,520923544,
valg,oss,mastodon-sc-mastodon,serial,stock,PASS,218715,49531955,
valg,oss,mastodon-sc-mastodon,serial,native,PASS,218738,49433000,
valg,oss,mastodon-sc-mastodon,parallel,stock,PASS,220399,49558458,
valg,oss,mastodon-sc-mastodon,parallel,native,PASS,267996,51133587,
valg,oss,mastodon-sc-mastodon,g1,stock,TIMEOUT,267113,51099416,
valg,oss,mastodon-sc-mastodon,g1,native,PASS,218467,49433728,
valg,oss,mocnik-science-geogrid,serial,stock,PASS,201216,155499644,
valg,oss,mocnik-science-geogrid,serial,native,PASS,200257,155476311,
valg,oss,mocnik-science-geogrid,parallel,stock,PASS,200851,155502803,
valg,oss,mocnik-science-geogrid,parallel,native,PASS,200950,155491734,
valg,oss,mocnik-science-geogrid,g1,stock,PASS,200782,155500346,
valg,oss,mocnik-science-geogrid,g1,native,PASS,201130,155480856,
valg,oss,myui-btree4j,serial,stock,PASS,59336,275541734,
valg,oss,myui-btree4j,serial,native,PASS,59458,275611744,
valg,oss,myui-btree4j,parallel,stock,PASS,59029,275462874,
